Model,Scenario,Region,indicator,unit,year,emissions
GCAM,No policy,Colombia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,20.92340249
GCAM,No policy,EU-12,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,621.7433394
GCAM,No policy,EU-15,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,3492.463067
GCAM,No policy,European Free Trade Association,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,86.03269123
GCAM,No policy,Europe_Eastern,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,338.1623951
GCAM,No policy,Europe_Non_EU,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,366.9312213
GCAM,No policy,India,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,1346.294597
GCAM,No policy,Indonesia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,656.0823961
GCAM,No policy,Japan,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,1327.855399
GCAM,No policy,Mexico,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,569.1941864
GCAM,No policy,Middle East,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,1435.803025
GCAM,No policy,Pakistan,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,140.6383932
GCAM,No policy,Russia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,1605.958177
GCAM,No policy,South Africa,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,467.6386016
GCAM,No policy,South America_Northern,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,207.9369458
GCAM,No policy,South America_Southern,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,279.0227707
GCAM,No policy,South Asia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,66.07831799
GCAM,No policy,Southeast Asia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,1158.868976
GCAM,No policy,South Korea,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,533.8909255
GCAM,No policy,Taiwan,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,289.9819047
GCAM,No policy,United States,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,5488.373893
GCAM,No policy,World,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,31889.09899
GCAM,Paris - Continued ambition,Africa_Eastern,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,355.2712649
GCAM,Paris - Continued ambition,Africa_Northern,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,450.679127
GCAM,Paris - Continued ambition,Africa_Southern,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,105.5855317
GCAM,Paris - Continued ambition,Africa_Western,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,675.4682791
GCAM,Paris - Continued ambition,Argentina,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,169.7249497
GCAM,Paris - Continued ambition,Australia/New Zealand,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,432.1757663
GCAM,Paris - Continued ambition,Brazil,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,904.7075945
GCAM,Paris - Continued ambition,Canada,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,459.5882263
GCAM,Paris - Continued ambition,Central America and Caribbean,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,278.5317052
GCAM,Paris - Continued ambition,Central Asia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,424.7430041
GCAM,Paris - Continued ambition,China,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,7132.748919
GCAM,Paris - Continued ambition,Colombia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,20.92340249
GCAM,Paris - Continued ambition,EU-12,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,621.7433394
GCAM,Paris - Continued ambition,EU-15,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,3492.463067
GCAM,Paris - Continued ambition,European Free Trade Association,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,86.03269123
GCAM,Paris - Continued ambition,Europe_Eastern,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,338.1623951
GCAM,Paris - Continued ambition,Europe_Non_EU,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,366.9312213
GCAM,Paris - Continued ambition,India,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,1346.294597
GCAM,Paris - Continued ambition,Indonesia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,656.0823961
GCAM,Paris - Continued ambition,Japan,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,1327.855399
GCAM,Paris - Continued ambition,Mexico,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,569.1941864
GCAM,Paris - Continued ambition,Middle East,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,1435.803025
GCAM,Paris - Continued ambition,Pakistan,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,140.6383932
GCAM,Paris - Continued ambition,Russia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,1605.958177
GCAM,Paris - Continued ambition,South Africa,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,467.6386016
GCAM,Paris - Continued ambition,South America_Northern,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,207.9369458
GCAM,Paris - Continued ambition,South America_Southern,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,279.0227707
GCAM,Paris - Continued ambition,South Asia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,66.07831798
GCAM,Paris - Continued ambition,Southeast Asia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,1158.868976
GCAM,Paris - Continued ambition,South Korea,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,533.8909255
GCAM,Paris - Continued ambition,Taiwan,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,289.9819047
GCAM,Paris - Continued ambition,United States,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,5488.373891
GCAM,Paris - Continued ambition,World,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,31889.09899
GCAM,Paris - Increased ambition,Africa_Eastern,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,355.2712649
GCAM,Paris - Increased ambition,Africa_Northern,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,450.679127
GCAM,Paris - Increased ambition,Africa_Southern,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,105.5855317
GCAM,Paris - Increased ambition,Africa_Western,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,675.4682791
GCAM,Paris - Increased ambition,Argentina,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,169.7249497
GCAM,Paris - Increased ambition,Australia/New Zealand,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,432.1757663
GCAM,Paris - Increased ambition,Brazil,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,904.7075945
GCAM,Paris - Increased ambition,Canada,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,459.5882263
GCAM,Paris - Increased ambition,Central America and Caribbean,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,278.5317052
GCAM,Paris - Increased ambition,Central Asia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,424.7430041
GCAM,Paris - Increased ambition,China,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,7132.748919
GCAM,Paris - Increased ambition,Colombia,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,20.92340249
GCAM,Paris - Increased ambition,EU-12,Emissions|GHG Emissions by gas with LULUCF|CO2,Mt CO2e/yr,2005,621.7433394
